Separation, Asymptotic Velocity
0.008, 1.225
0.015, 1.225
0.023, 1.225
0.030, 1.224
0.038, 1.224
0.046, 1.224
0.053, 1.223
0.061, 1.223
0.068, 1.223
0.076, 1.222
0.084, 1.222
0.091, 1.221
0.099, 1.220
0.106, 1.220
0.114, 1.219
0.122, 1.218
0.129, 1.217
0.137, 1.216
0.144, 1.215
0.152, 1.214
0.159, 1.213
0.167, 1.212
0.175, 1.211
0.182, 1.209
0.190, 1.208
0.197, 1.207
0.205, 1.205
0.213, 1.204
0.220, 1.202
0.228, 1.201
0.235, 1.199
0.243, 1.197
0.251, 1.195
0.258, 1.194
0.266, 1.192
0.273, 1.190
0.281, 1.188
0.289, 1.186
0.296, 1.184
0.304, 1.181
0.311, 1.179
0.319, 1.177
0.327, 1.175
0.334, 1.172
0.342, 1.170
0.349, 1.167
0.357, 1.164
0.365, 1.162
0.372, 1.159
0.380, 1.156
0.387, 1.153
0.395, 1.150
0.403, 1.147
0.410, 1.144
0.418, 1.141
0.425, 1.138
0.433, 1.135
0.441, 1.131
0.448, 1.128
0.456, 1.124
0.463, 1.121
0.471, 1.117
0.478, 1.114
0.486, 1.110
0.494, 1.106
0.501, 1.102
0.509, 1.098
0.516, 1.094
0.524, 1.090
0.532, 1.085
0.539, 1.081
0.547, 1.077
0.554, 1.072
0.562, 1.067
0.570, 1.063
0.577, 1.058
0.585, 1.053
0.592, 1.048
0.600, 1.043
