Separation, Asymptotic Velocity
0.015, 1.079
0.031, 1.367
0.046, 1.481
0.062, 1.497
0.077, 1.489
0.092, 1.475
0.108, 1.459
0.123, 1.444
0.138, 1.430
0.154, 1.417
0.169, 1.405
0.185, 1.393
0.200, 1.382
0.215, 1.372
0.231, 1.363
0.246, 1.354
0.262, 1.346
0.277, 1.337
0.292, 1.329
0.308, 1.322
0.323, 1.314
0.338, 1.307
0.354, 1.300
0.369, 1.293
0.385, 1.285
0.400, 1.278
0.415, 1.271
0.431, 1.264
0.446, 1.257
0.462, 1.250
0.477, 1.243
0.492, 1.235
0.508, 1.228
0.523, 1.220
0.538, 1.212
0.554, 1.205
0.569, 1.197
0.585, 1.188
0.600, 1.180
